ticker,BusinessName,SEC filings,GICS�Sector,GICS Sub Industry,Location,Date first added[3][4],CIK,Founded
NCLH,Norwegian Cruise Line,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",10/13/17,1513761,
NDAQ,"Nasdaq, Inc.",reports,Financials,Financial Exchanges & Data,"New York, New York",10/22/08,1120193,
NEE,NextEra Energy,reports,Utilities,Multi-Utilities,"Juno Beach, Florida",6/30/76,753308,
NEM,Newmont Mining Corporation,reports,Materials,Gold,"Denver, Colorado",6/30/69,1164727,1921
NFLX,Netflix Inc.,reports,Communication Services,Movies & Entertainment,"Los Gatos, California",12/20/10,1065280,1997
NFX,Newfield Exploration Co,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",12/20/10,912750,
NI,NiSource Inc.,reports,Utilities,Multi-Utilities,"Merrillville, Indiana",,1111711,1912
NKE,Nike,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",11/30/88,320187,
NKTR,Nektar Therapeutics,reports,Health Care,Pharmaceuticals,"San Francisco, California",3/19/18,906709,
NLSN,Nielsen Holdings,reports,Industrials,Research & Consulting Services,"New York, New York",7/9/13,1492633,
NOC,Northrop Grumman Corp.,reports,Industrials,Aerospace & Defense,"West Falls Church, Virginia",6/30/85,1133421,
NOV,National Oilwell Varco Inc.,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",3/14/05,1021860,
NRG,NRG Energy,reports,Utilities,Independent Power Producers & Energy Traders,"Princeton, New Jersey",1/29/10,1013871,
NSC,Norfolk Southern Corp.,reports,Industrials,Railroads,"Norfolk, Virginia",,702165,1881/1894 (1980)
NTAP,NetApp,reports,Information Technology,Internet Software & Services,"Sunnyvale, California",6/25/99,1002047,
NTRS,Northern Trust Corp.,reports,Financials,Asset Management & Custody Banks,"Chicago, Illinois",,73124,1889
NUE,Nucor Corp.,reports,Materials,Steel,"Charlotte, North Carolina",4/30/85,73309,
NVDA,Nvidia Corporation,reports,Information Technology,Semiconductors,"Santa Clara, California",11/30/01,1045810,
NWL,Newell Brands,reports,Consumer Discretionary,Housewares & Specialties,"Sandy Springs, Georgia",4/30/89,814453,
NWS,News Corp. Class B,reports,Communication Services,Publishing,"New York, New York",9/18/15,1564708,
NWSA,News Corp. Class A,reports,Communication Services,Publishing,"New York, New York",8/1/13,1564708,
O,Realty Income Corporation,reports,Real Estate,Retail REITs,"San Diego, California",4/7/15,726728,
OKE,ONEOK,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",3/15/10,1039684,
OMC,Omnicom Group,reports,Communication Services,Advertising,"New York, New York",,29989,1986
ORCL,Oracle Corp.,reports,Information Technology,Application Software,"Redwood Shores, California",8/31/89,1341439,
ORLY,O'Reilly Automotive,reports,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",3/27/09,898173,
OXY,Occidental Petroleum,reports,Energy,Oil & Gas Exploration & Production,"Los Angeles, California",12/31/82,797468,
PAYX,Paychex Inc.,reports,Information Technology,Internet Software & Services,"Penfield, New York",,723531,1971
PBCT,People's United Financial,reports,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",11/13/08,1378946,
PCAR,PACCAR Inc.,reports,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",12/31/80,75362,
PCG,PG&E Corp.,reports,Utilities,Multi-Utilities,"San Francisco, California",,1004980,1905
PEG,Public Serv. Enterprise Inc.,reports,Utilities,Electric Utilities,"Newark, New Jersey",,788784,
PEP,PepsiCo Inc.,reports,Consumer Staples,Soft Drinks,"Purchase, New York",,77476,1898
PFE,Pfizer Inc.,reports,Health Care,Pharmaceuticals,"New York, New York",,78003,1849
PFG,Principal Financial Group,reports,Financials,Life & Health Insurance,"Des Moines, Iowa",7/22/02,1126328,
PG,Procter & Gamble,reports,Consumer Staples,Personal Products,"Cincinnati, Ohio",,80424,1837
PGR,Progressive Corp.,reports,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",8/4/97,80661,
PH,Parker-Hannifin,reports,Industrials,Industrial Machinery,"Cleveland, Ohio",11/30/85,76334,
PHM,Pulte Homes Inc.,reports,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",4/30/84,822416,
PKG,Packaging Corporation of America,reports,Materials,Paper Packaging,"Lake Forest, Illinois",7/26/17,75677,
PKI,PerkinElmer,reports,Health Care,Health Care Equipment,"Waltham, Massachusetts",5/31/85,31791,
PLD,Prologis,reports,Real Estate,Industrial REITs,"San Francisco, California",7/17/03,1045609,
PM,Philip Morris International,reports,Consumer Staples,Tobacco,"New York, New York",3/31/08,1413329,
PNC,PNC Financial Services,reports,Financials,Regional Banks,"Pittsburgh, Pennsylvania",4/30/88,713676,
PNR,Pentair�plc,reports,Industrials,Industrial Machinery,"Worsley, UK",10/1/12,77360,
PNW,Pinnacle West Capital,reports,Utilities,Multi-Utilities,"Phoenix, Arizona",,764622,1985
PPG,PPG Industries,reports,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",,79879,1883
PPL,PPL Corp.,reports,Utilities,Electric Utilities,"Allentown, Pennsylvania",,922224,
PRGO,Perrigo,reports,Health Care,Pharmaceuticals,"Dublin, Ireland",12/19/11,1585364,
PRU,Prudential Financial,reports,Financials,Life & Health Insurance,"Newark, New Jersey",7/22/02,1137774,
PSA,Public Storage,reports,Real Estate,Specialized REITs,"Glendale, California",8/19/05,1393311,
PSX,Phillips 66,reports,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",5/1/12,1534701,
PVH,PVH Corp.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2/15/13,78239,
PWR,Quanta Services Inc.,reports,Industrials,Construction & Engineering,"Houston, Texas",7/1/09,1050915,
PXD,Pioneer Natural Resources,reports,Energy,Oil & Gas Exploration & Production,"Irving, Texas",9/24/08,1038357,
PYPL,PayPal,reports,Information Technology,Data Processing & Outsourced Services,"San Jose, California",7/20/15,1633917,
QCOM,QUALCOMM Inc.,reports,Information Technology,Semiconductors,"San Diego, California",,804328,1985
QRVO,Qorvo,reports,Information Technology,Semiconductors,"Greensboro, North Carolina",6/11/15,1604778,
RCL,Royal Caribbean Cruises Ltd,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/5/14,884887,
RE,Everest Re�Group Ltd.,reports,Financials,Reinsurance,"Hamilton, Bermuda",6/19/17,1095073,
REG,Regency Centers Corporation,reports,Real Estate,Retail REITs,"Jacksonville, Florida",3/2/17,910606,
REGN,Regeneron,reports,Health Care,Biotechnology,"Tarrytown, New York",5/1/13,872589,
RF,Regions Financial Corp.,reports,Financials,Regional Banks,"Birmingham, Alabama",8/28/98,1281761,
RHI,Robert Half International,reports,Industrials,Human Resource & Employment Services,"Menlo Park, California",12/5/00,315213,
RHT,Red Hat Inc.,reports,Information Technology,Systems Software,"Raleigh, North Carolina",7/27/09,1087423,
RJF,Raymond James Financial Inc.,reports,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",3/20/17,720005,
RL,Polo Ralph Lauren Corp.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2/2/07,1037038,
RMD,ResMed,reports,Health Care,Health Care Equipment,"San Diego, California",7/26/17,943819,
ROK,Rockwell Automation Inc.,reports,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",,1024478,
ROL,Rollins Inc.,reports,Industrials,Environmental & Facilities Services,"Atlanta, Georgia",10/1/18,84839,1948
ROP,Roper Technologies,reports,Industrials,Industrial Conglomerates,"Sarasota, Florida",12/23/09,882835,
ROST,Ross Stores,reports,Consumer Discretionary,Apparel Retail,"Pleasanton, California",12/21/09,745732,
RSG,Republic Services Inc,reports,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",12/5/08,1060391,
RTN,Raytheon Co.,reports,Industrials,Aerospace & Defense,"Waltham, Massachusetts",,1047122,1922
SBAC,SBA Communications,reports,Real Estate,Specialized REITs,"Boca Raton, Florida",9/1/17,1034054,
SBUX,Starbucks Corp.,reports,Consumer Discretionary,Restaurants,"Seattle, Washington",,829224,1971
SCG,SCANA Corp,reports,Utilities,Multi-Utilities,"Cayce, South Carolina",1/2/09,754737,
SCHW,Charles Schwab Corporation,reports,Financials,Investment Banking & Brokerage,"San Francisco, California",6/2/97,316709,
SEE,Sealed Air,reports,Materials,Paper Packaging,"Elmwood Park, New Jersey",,1012100,
SHW,Sherwin-Williams,reports,Materials,Specialty Chemicals,"Cleveland, Ohio",6/30/64,89800,1866
SIVB,SVB Financial,reports,Financials,Regional Banks,"Santa Clara, California",3/19/18,719739,
SJM,JM Smucker,reports,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",11/6/08,91419,
SLB,Schlumberger Ltd.,reports,Energy,Oil & Gas Equipment & Services,"Cura�ao,�Kingdom of the Netherlands",3/31/65,87347,1926
SLG,SL Green Realty,reports,Real Estate,Office REITs,"New York, New York",3/20/15,1040971,
SNA,Snap-on,reports,Industrials,Industrial Machinery,"Kenosha, Wisconsin",9/30/82,91440,
SNPS,Synopsys Inc.,reports,Information Technology,Application Software,"Mountain View, California",3/16/17,883241,
SO,Southern Co.,reports,Utilities,Electric Utilities,"Atlanta, Georgia",,92122,
SPG,Simon Property Group Inc,reports,Real Estate,Retail REITs,"Indianapolis, Indiana",6/26/02,1063761,
SPGI,"S&P Global, Inc.",reports,Financials,Financial Exchanges & Data,"New York, New York",,64040,
SRE,Sempra Energy,reports,Utilities,Multi-Utilities,"San Diego, California",,1032208,
STI,SunTrust Banks,reports,Financials,Regional Banks,"Atlanta, Georgia",5/31/88,750556,
STT,State Street Corp.,reports,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",,93751,
STX,Seagate Technology,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",7/2/12,1137789,
STZ,Constellation Brands,reports,Consumer Staples,Distillers & Vintners,"Victor, New York",7/5/05,16918,
SWK,Stanley Black & Decker,reports,Industrials,Industrial Machinery,"New Britain, Connecticut",9/30/82,93556,
SWKS,Skyworks Solutions,reports,Information Technology,Semiconductors,"Woburn, Massachusetts",3/12/15,4127,
SYF,Synchrony Financial,reports,Financials,Consumer Finance,"Stamford, Connecticut",11/18/15,1601712,
SYK,Stryker Corp.,reports,Health Care,Health Care Equipment,"Kalamazoo, Michigan",12/12/00,310764,
SYMC,Symantec Corp.,reports,Information Technology,Application Software,"Mountain View, California",3/25/03,849399,
SYY,Sysco Corp.,reports,Consumer Staples,Food Distributors,"Houston, Texas",12/31/86,96021,
T,AT&T Inc.,reports,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",11/30/83,732717,1983
TAP,Molson Coors Brewing Company,reports,Consumer Staples,Brewers,"Denver, Colorado",6/30/76,24545,
TDG,TransDigm Group,reports,Industrials,Aerospace & Defense,"Cleveland, Ohio",6/3/16,1260221,
TEL,TE Connectivity Ltd.,reports,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",10/17/11,1385157,
TGT,Target Corp.,reports,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",12/31/76,27419,
TIF,Tiffany & Co.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",6/21/00,98246,
TJX,TJX Companies Inc.,reports,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",9/30/85,109198,
TMK,Torchmark Corp.,reports,Financials,Life & Health Insurance,"McKinney, Texas",4/30/89,320335,
TMO,Thermo Fisher Scientific,reports,Health Care,Health Care Equipment,"Waltham, Massachusetts",,97745,2006
TPR,"Tapestry, Inc.",reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",,1116132,2017
TRIP,TripAdvisor,reports,Communication Services,Interactive Media & Services,"Newton, Massachusetts",12/21/11,1526520,
TROW,T. Rowe Price Group,reports,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,1113169,1937
TRV,The Travelers Companies Inc.,reports,Financials,Property & Casualty Insurance,"New York, New York",8/21/02,86312,
TSCO,Tractor Supply Company,reports,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",1/24/14,916365,
TSN,Tyson Foods,reports,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",,100493,
TSS,Total System Services,reports,Information Technology,Internet Software & Services,"Columbus, Georgia",1/2/08,721683,
TTWO,Take-Two Interactive,reports,Communication Services,Interactive Home Entertainment,"New York, New York",3/19/18,946581,
TWTR,"Twitter, Inc.",reports,Communication Services,Interactive Media & Services,"San Francisco, California",6/7/18,1418091,2006
TXN,Texas Instruments,reports,Information Technology,Semiconductors,"Dallas, Texas",,97476,1930
TXT,Textron Inc.,reports,Industrials,Aerospace & Defense,"Providence, Rhode Island",12/31/78,217346,
UA,Under Armour�Class C,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",5/1/14,1336917,
UAA,Under Armour�Class A,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",3/25/16,1336917,
UAL,United Continental Holdings,reports,Industrials,Airlines,"Chicago, Illinois",9/3/15,100517,
UDR,UDR Inc,reports,Real Estate,Residential REITs,"Highlands Ranch, Colorado",3/7/16,74208,
UHS,"Universal Health Services, Inc.",reports,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",9/20/14,352915,
ULTA,Ulta Beauty,reports,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",4/18/16,1403568,
UNH,United Health Group Inc.,reports,Health Care,Managed Health Care,"Minnetonka, Minnesota",7/1/94,731766,
UNM,Unum Group,reports,Financials,Life & Health Insurance,"Chattanooga, Tennessee",3/1/94,5513,
UNP,Union Pacific,reports,Industrials,Railroads,"Omaha, Nebraska",,100885,
UPS,United Parcel Service,reports,Industrials,Air Freight & Logistics,"Atlanta, Georgia",7/22/02,1090727,
URI,"United Rentals, Inc.",reports,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",9/20/14,1067701,
USB,U.S. Bancorp,reports,Financials,Diversified Banks,"Minneapolis, Minnesota",,36104,1968
UTX,United Technologies,reports,Industrials,Aerospace & Defense,"Hartford, Connecticut",,101829,
V,Visa Inc.,reports,Information Technology,Internet Software & Services,"San Francisco, California",12/21/09,1403161,
VAR,Varian Medical Systems,reports,Health Care,Health Care Equipment,"Palo Alto, California",2/12/07,203527,
VFC,V.F. Corp.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",6/30/79,103379,
VIAB,Viacom Inc.,reports,Communication Services,Movies & Entertainment,"New York, New York",,1339947,
VLO,Valero Energy,reports,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",,1035002,1980
VMC,Vulcan Materials,reports,Materials,Construction Materials,"Birmingham, Alabama",6/30/99,1396009,
VNO,Vornado Realty Trust,reports,Real Estate,Office REITs,"New York, New York",,899689,
VRSK,Verisk Analytics,reports,Industrials,Research & Consulting Services,"Jersey City, New Jersey",10/8/15,1442145,
VRSN,Verisign Inc.,reports,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",2/1/06,1014473,
VRTX,Vertex Pharmaceuticals Inc,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",9/23/13,875320,
VTR,Ventas Inc,reports,Real Estate,Health Care REITs,"Chicago, Illinois",3/4/09,740260,
VZ,Verizon Communications,reports,Communication Services,Integrated Telecommunication Services,"New York, New York",11/30/83,732712,
WAT,Waters Corporation,reports,Health Care,Health Care Distributors,"Milford, Massachusetts",,1000697,1958
WBA,Walgreens Boots Alliance,reports,Consumer Staples,Drug Retail,"Deerfield, Illinois",12/31/79,1618921,
WCG,WellCare,reports,Health Care,Managed Health Care,"Tampa, Florida",1985,1279363,
WDC,Western Digital,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Irvine, California",7/1/09,106040,
WEC,Wec Energy Group Inc,reports,Utilities,Electric Utilities,"Milwaukee, Wisconsin",10/31/08,783325,
WELL,Welltower Inc.,reports,Real Estate,Health Care REITs,"Toledo, Ohio",1/30/09,766704,
WFC,Wells Fargo,reports,Financials,Diversified Banks,"San Francisco, California",6/30/76,72971,
WHR,Whirlpool Corp.,reports,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,106640,1911
WLTW,Willis Towers Watson,reports,Financials,Insurance Brokers,"London, United Kingdom",1/5/16,1140536,
WM,Waste Management Inc.,reports,Industrials,Environmental & Facilities Services,"Houston, Texas",,823768,1968
WMB,Williams Cos.,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",3/31/75,107263,
WMT,Walmart,reports,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",8/31/82,104169,
WRK,WestRock,reports,Materials,Paper Packaging,"Richmond, Virginia",,1636023,
WU,Western Union Co,reports,Information Technology,Internet Software & Services,"Englewood, Colorado",,1365135,1851
WY,Weyerhaeuser,reports,Real Estate,Specialized REITs,"Federal Way, Washington",,106535,
WYNN,Wynn Resorts�Ltd,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",11/14/08,1174922,
XEC,Cimarex Energy,reports,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",6/21/14,1168054,
XEL,Xcel Energy Inc,reports,Utilities,Multi-Utilities,"Minneapolis, Minnesota",,72903,1909
XLNX,Xilinx,reports,Information Technology,Semiconductors,"San Jose, California",11/8/99,743988,
XOM,Exxon Mobil Corp.,reports,Energy,Integrated Oil & Gas,"Irving, Texas",,34088,1999
XRAY,Dentsply Sirona,reports,Health Care,Health Care Supplies,"York, Pennsylvania",11/14/08,818479,
XRX,Xerox,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut",,108772,1906
XYL,Xylem Inc.,reports,Industrials,Industrial Machinery,"White Plains, New York",11/1/11,1524472,
YUM,Yum! Brands Inc,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",10/6/97,1041061,
ZBH,Zimmer Biomet Holdings,reports,Health Care,Health Care Equipment,"Warsaw, Indiana",8/7/01,1136869,
ZION,Zions Bancorp,reports,Financials,Regional Banks,"Salt Lake City, Utah",6/22/01,109380,
ZTS,Zoetis,reports,Health Care,Pharmaceuticals,"Florham Park, New Jersey",6/21/13,1555280,