Ticker,BusinessName
ADSK,Autodesk Inc
ALGN,Align Technology Inc
ALXN,Alexion Pharmaceuticals Inc
AMAT,Applied Materials Inc
AMZN,Amazoncom Inc
ATVI,Activision Blizzard Inc
BIIB,Biogen Inc
BMRN,BioMarin Pharmaceutical Inc
CDNS,Cadence Design Systems Inc
CELG,Celgene Corporation
CERN,Cerner Corporation
CHKP,Check Point Software Tech Inc
CMCSA,Comcast Corporation
CSCO,Cisco Systems Inc
CTAS,Cintas Corporation
CTSH,Cognizant Technology Solutions
CTXS,Citrix Systems Inc
DLTR,Dollar Tree Inc
EA,Electronic Arts Inc
EBAY,eBay Inc
ESRX,Express Scripts Holding Company
EXPE,Expedia Inc
FAST,Fastenal Company
FB,Facebook Inc
FISV,Fiserv Inc
GILD,Gilead Sciences Inc
HOLX,Hologic Inc
HSIC,Henry Schein Inc
IDXX,IDEXX Laboratories Inc
ILMN,Illumina Inc
INCY,Incyte Corporation
INTC,Intel Corporation
INTU,Intuit Inc
KHC,The Kraft Heinz Company
KLAC,KLA-Tencor Corporation
LRCX,Lam Research Corporation
MAR,Marriott International
MDLZ,Mondelez International Inc
MNST,Monster Beverage Corporation
MXIM,Maxim Integrated Products Inc
NFLX,Netflix Inc
NVDA,NVIDIA Corporation
ORLY,O'Reilly Automotive Inc
PCAR,PACCAR Inc
QCOM,QUALCOMM Incorporated
REGN,Regeneron Pharmaceuticals Inc
ROST,Ross Stores Inc
SIRI,Sirius XM Holdings Inc
SNPS,Synopsys Inc
SWKS,Skyworks Solutions Inc
SYMC,Symantec Corporation
TMUS,T-Mobile US Inc
TSLA,Tesla Motors Inc
VRSK,Verisk Analytics Inc
VRTX,Vertex Pharmaceuticals Incorpor
WBA,Walgreens Boots Alliance Inc
WDAY,Workday Inc
WDC,Western Digital Corporation
XEL,Xcel Energy Inc
XLNX,Xilinx Inc
AAPL,Apple
FOOB,FooBar